SNID,RA,DEC,zHEL,TYPE
1994DRichmond,188.51,7.7016,0.00187,None
2017cbv,218.143,-44.1341,0.00411,None
2017cbv,218.143,-44.1341,0.00411,None
1998aq,179.108,55.1287,0.00313,None
1990N,190.736,13.2565,0.00355,None
2005df_ANU,64.4077,-62.7693,0.00435,None
1994ae,161.758,17.2752,0.00427,None
2015bp,226.375,1.634,0.00539,None
2008Q,21.2385,9.5504,0.00826,None
2008Q,21.2385,9.5504,0.00826,None
1996Z,144.187,-21.1476,0.00757,None
2013gh,330.591,-18.9168,0.00881,None
2013gh,330.591,-18.9168,0.00881,None
PSNJ0717457,109.44,23.3446,0.00759,None
1997bp,191.724,-11.6425,0.00817,None
1997do,111.677,47.0933,0.01012,None
2008fv_comb,154.239,73.4101,0.00973,None
ASASSN-16jf,339.247,-25.232,0.01144,None
ASASSN-16dn,162.206,-20.2639,0.01285,None
2013fa,310.973,12.5144,0.0153,None
2011im,341.105,-0.1672,0.01616,None
2008eo,10.4668,32.9903,0.01643,None
2007ss,190.275,50.3913,0.01557,None
1998V,275.656,15.7021,0.01758,None
ASASSN-16lc,292.252,-51.971,0.02033,None
2004bw,225.945,-3.3046,0.0214,None
SN2016ajf,49.9771,41.565,0.02032,None
ASASSN-18da,52.3194,-23.9786,0.022,None
ASASSN-18iu,269.418,50.0386,0.0223,None
2002cu,272.71,31.109,0.02252,None
ASASSN-16bn,47.6437,4.2697,0.02317,None
AT2016bln,203.689,13.8539,0.0233,None
370356,183.406,46.4835,0.02428,None
SNF20071021-000,3.7493,16.335,0.0276,None
1998ab,192.197,41.9245,0.02731,None
ASASSN-16hh,31.1559,21.5861,0.03026,None
ATLAS17ajn,176.111,-28.4574,0.02871,None
ASASSN-16es,177.727,2.3069,0.0285,None
PS15cwx,78.6992,7.0504,0.03007,None
SNF20080909-030,330.454,13.0553,0.03134,None
AT2017po,240.965,39.9901,0.03183,None
2003kc,146.643,30.6553,0.03316,None
SN2017ciy,256.029,25.0529,0.03765,None
2008051,229.995,4.9046,0.03777,None
PS16cqa,234.779,9.2946,0.04385,None
2008050,204.198,5.1418,0.04526,None
AT2016ews,225.652,23.3528,0.04555,None
1993ag,150.894,-35.4626,0.04909,None
PS15asb,215.085,-9.3009,0.04863,None
PS15brr,358.356,-15.6545,0.0518,None
PS16ayd,216.826,-1.6753,0.05399,None
2008eq,255.03,23.1324,0.0568,None
SN2016hhv,353.952,20.7088,0.06194,None
1992bs,52.3749,-37.2718,0.06405,None
SN2016aqb,170.493,-13.9837,0.06289,None
CSS160129,115.123,10.9333,0.06766,None
PS16em,163.892,-3.3663,0.06981,None
470043,128.994,44.7675,0.07,None
PS15bwh,352.644,-18.8915,0.07267,None
17186,31.6128,-0.8995,0.07944,None
560033,353.599,-0.6831,0.08,None
130308,213.238,52.7437,0.08177,None
SN2016glp,354.058,23.696,0.08493,None
010010,150.859,1.0294,0.0984,None
160099,214.667,54.1831,0.10102,None
000190,148.988,2.2635,0.1011,None
140181,183.738,46.845,0.10154,None
100405,53.6285,-27.3206,0.1034,None
13135,4.1723,-0.4245,0.10467,None
20064,358.586,-0.9176,0.10484,None
13038,347.827,0.5046,0.1062,None
18697,11.2239,-0.9971,0.10762,None
20625,5.6834,-0.479,0.10813,None
3256,329.268,-0.2235,0.10822,None
120225,150.818,3.4749,0.106,None
21034,28.1414,1.2441,0.10855,None
500038,150.193,2.5513,0.10682,None
7147,350.018,-0.0554,0.11022,None
020027,186.336,46.0152,0.1091,None
18650,328.447,0.0151,0.11371,None
18612,12.2879,0.597,0.11489,None
8719,7.7215,-0.7188,0.11757,None
5395,49.6409,0.1233,0.117,None
2561,46.3434,0.8584,0.11813,None
16259,352.03,0.8564,0.11908,None
1371,349.374,0.4294,0.11934,None
000137,161.159,57.8111,0.1182,None
5549,3.2505,0.2482,0.12124,None
12860,323.694,1.1759,0.12168,None
490008,131.449,44.4206,0.12,None
19953,332.931,0.5791,0.12323,None
390259,242.396,53.8672,0.122,None
18835,53.6851,0.3555,0.12319,None
2916,315.922,0.5696,0.1242,None
16021,13.8437,-0.3888,0.1246,None
13894,1.6906,-0.0368,0.1249,None
570062,353.102,0.2956,0.125,None
6406,46.0886,-1.063,0.12449,None
19543,357.908,0.2798,0.1252,None
13044,332.543,0.5033,0.12588,None
15459,340.701,-0.9018,0.12679,None
2992,55.497,-0.7827,0.12661,None
16069,341.246,-1.0066,0.12825,None
744,329.198,0.3175,0.12825,None
14871,54.2771,0.0094,0.1276,None
18855,48.6323,0.2698,0.12783,None
22075,29.9631,1.2165,0.13003,None
1032,46.7957,1.1196,0.12976,None
5751,11.6342,0.8382,0.13056,None
18415,337.478,1.0586,0.13077,None
