Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,ra_host,dec_host,mass_err,mass,restframe_gz,restframe_gz_err,d_dlr,ANGSEP_ARCSEC,TARGETID,RA,DEC,DESI_TARGET,SPECTYPE,Z,ZWARN,ABS_DIFF,RESIDUAL,residual_centered,VDISP,LOGMSTAR,SFR,AGE,DN4000,ABSMAG01_SDSS_G,ABSMAG01_SDSS_R,sigma_mu_meas2,sigma_mu_meas
19,ZTF18aabyhlc,0.02905506,1.526e-05,z_gal,58180.62126192248,0.001247359,-2.74757431,0.3330676960088438,0.5041427268151892,0.000122144,0.091428252,0.063529518,-4.25e-05,0.009264298,0.016904983,-6.15e-06,-7.32e-06,0.002846503,0.011580525,3.1,0,0.9955929225303692,226.845147,38.416547,snia,,1.0,1.0,2018aab,100.0,226.846817768642,38.420393301027225,0.1209297316626478,10.003,1.16969653,0.019849433241,1.5322682348750876,2.4049032509698467e-10,39633049377308845,226.846817768642,38.420393301027225,5764607523034234880,GALAXY,0.0290500984930864,0,4.961506913599145e-06,4.961506913599145e-06,0.0170895874552492,91.6535,10.129046,0.0,11.228777,1.9411552,-18.45995,-19.360783,0.009130767731323137,0.09555505078918193
22,ZTF18aagrcfl,0.04785957,1.653e-05,z_gal,58192.610793487125,0.0011629,1.253838914310036,0.1511888185044167,0.4211899310757871,5.087570819933352e-05,0.141741702,0.033973048,-1.33e-05,-0.036807963,0.007219403,1.4548039796847583e-06,-1.52e-06,-0.001606132,0.014243939,3.1,0,0.9999579885929912,236.095888,39.558108,snia-cosmo,norm,0.0,1.0,2018aej,100.0,236.09610232558995,39.55886423916196,0.1062826420446913,10.23,1.14869653,0.018439088915,0.3723120104185216,1.144999685326866e-11,39633068310399350,236.09610232558995,39.55886423916196,5764607523034234880,GALAXY,0.0478591010922113,0,4.689077886949056e-07,4.689077886949056e-07,0.1745237558569918,104.16124,10.404755,0.19530444,8.752773,1.6880853,-18.99013,-19.822226,0.005983385727144249,0.07735234790970633
25,ZTF18aagrgao,0.11405402,2.006e-05,z_gal,58188.299748294514,0.000371721,-1.147976016,-0.053118562,0.8308715566818137,3.7451912833188735e-05,0.163099279,0.054582331,-2.71e-05,0.005532181,0.02883902,-2.03e-06,-1.79e-06,0.002181586,0.052881751,3.1,0,1.1560877812288793e-24,251.856433,25.685133,snia,,0.0,0.0,2018bav,98.71244635193132,251.8571063880705,25.684801389808523,0.1268227108999015,11.05,1.23269653,0.025238858928,0.5605261794861128,0.0,39628390910659429,251.8571063880705,25.684801389808523,5764607523034234880,GALAXY,0.1140513585155397,0,2.6614844603062293e-06,2.6614844603062293e-06,-0.3331055072597735,197.8408,10.982685,0.0,11.656438,2.1217313,-20.400269,-21.364683,0.008237196356499766,0.09075900151775451
26,ZTF18aagrtxs,0.02974109,1.121e-05,z_gal,58213.15026791291,0.005583245,-0.711099829,-0.148608617,0.04138177,0.000170287,0.037109825,0.028008571,2.0735687235291903e-06,-0.000202864,-0.000397335,3.193792142581116e-09,-4.14e-06,-0.000116982,0.009839961,3.1,0,1.3033276997073706e-06,198.606075,50.977709,snia-cosmo,norm,1.0,1.0,2018amo,100.0,198.60868974101308,50.979166235587,0.1546738504078824,10.583,1.26869653,0.018439088915,0.3916383073814234,0.0,39633263689466031,198.60868974101308,50.979166235587,5764607523034234880,GALAXY,0.0297425875782853,0,1.4975782852977293e-06,-1.4975782852977293e-06,0.1330190348593731,175.9136,10.908626,0.0,12.666576,2.0565782,-19.729076,-20.666441,0.0036324549143956705,0.06026985079121791
29,ZTF18aaguhgb,0.12421008,1.13e-05,z_gal,58215.24415964998,0.000387799,0.7711251139219097,-0.004352405,0.071939919,1.2285585163182971e-05,0.079639246,0.031644426,1.3189607855220182e-07,-0.001468808,-0.000482728,-2.15e-07,-3.37e-07,0.000299279,0.012485307,3.1,0,2.702706713697477e-16,219.454116,45.549285,snia-cosmo,norm,1.0,0.0,2018bat,100.0,219.4542504875128,45.54841117346075,0.1017889974407843,10.691,1.16269653,0.029681644159,0.9335770367710786,7.165405440006131e-11,39633175198043995,219.4542504875128,45.54841117346075,5764607523034234880,GALAXY,0.1242091733460153,0,9.066539846946942e-07,9.066539846946942e-07,-0.4203872339221419,126.400024,10.811389,2.2551534,6.2537093,1.3071164,-20.508034,-21.238867,0.004805823445499386,0.06932404666130929
47,ZTF18aahqmsr,0.06210194,1.026e-05,z_gal,58233.97697358328,0.000873743,0.8539242970413163,0.082794694,0.1409132175322156,2.895112583023874e-05,0.1484985765314086,0.03017582,-5.68e-07,-0.005011934,0.00097233,-9.28e-07,-7.35e-07,3.525231818059676e-06,0.016881542,3.1,0,0.003698016,159.649636,35.971196,snia-cosmo,norm,1.0,1.0,2018lpa,96.55172413793105,159.64996242622846,35.97126740260834,0.1026109155986827,9.186,0.59969653,0.026925824036,0.3960501847338717,0.0,39633000282983360,159.64996242622846,35.97126740260834,5764607523034234880,GALAXY,0.0621019547550651,0,1.4755065100291452e-08,-1.4755065100291452e-08,0.0417369159639484,432.1652,8.994267,0.067785405,5.4284906,1.2082132,-17.87335,-18.227194,0.0051236841116798805,0.07157991416368059
48,ZTF18aahrdpu,0.10156591,2.723e-05,z_gal,58222.38060831076,0.000480645,1.2573153549004024,-0.045887661,1.4018204623716883,3.5929876759204545e-05,0.8630973423068105,0.084981934,-3.12e-05,-0.608105995,0.073086101,-3.25e-06,-2.34e-06,-0.010820863,0.032886154,3.1,0,0.4773764182495316,127.808004,28.280239,snia,,1.0,0.0,,100.0,127.80794003615162,28.2802659062184,0.1161077086157504,10.261,1.25869653,0.029681644159,0.1301471196654422,2.289999370653732e-11,39628442957779451,127.80794003615162,28.2802659062184,5764607523034234880,GALAXY,0.1015684473763469,0,2.5373763469088706e-06,-2.5373763469088706e-06,0.0204672970215895,118.381836,10.124413,0.0,7.9748216,1.9261564,-18.791307,-19.711632,0.07350642189343094,0.27112067773121057
60,ZTF18aaimxdx,0.04299071,3.371e-05,z_gal,58217.30809390102,0.000521154,-2.618819551,0.4435993709146748,0.1156124617009481,2.421896290238923e-05,0.099814263,0.038684105,3.180234480924774e-07,-0.00081869,-0.000731575,-9.54e-07,-8.61e-07,0.001168018,0.028706504,3.1,0,1.9984429949070743e-16,266.036898,39.355355,snia-pec,91bg,1.0,0.0,2018bay,99.33774834437088,266.0355428520127,39.356746995163896,0.1435583505059876,9.488,1.17769653,0.020518284529,2.0398534501277354,0.0,39633064023819245,266.0355428520127,39.356746995163896,5764607523034234880,GALAXY,0.0430082709524923,0,1.7560952492300108e-05,-1.7560952492300108e-05,-0.2248760987202125,125.0,9.661688,0.0,8.780715,1.8835813,-17.748333,-18.613806,0.005275839887660721,0.07263497702664137
61,ZTF18aairuad,0.06466153,1.14e-05,z_gal,58229.20279877532,0.000891396,0.5494572418395482,-0.038371616,0.089853912,2.7260892206626105e-05,0.083297037,0.02907272,-1.44e-07,-0.001676833,0.000263938,-1.33e-07,-6.78e-07,-0.000135569,0.014202453,3.1,0,0.8180960772888706,177.939735,57.799506,snia-cosmo,norm,1.0,1.0,2018baq,100.0,177.93723355616234,57.7998850297568,0.1017889974407843,9.826,0.64269653,0.023600847442,1.103006602310051,5.724998426634331e-11,39633358812088318,177.93723355616234,57.7998850297568,5764607523034234880,GALAXY,0.064662030134957,0,5.001349570044056e-07,-5.001349570044056e-07,0.2492310078125612,71.620155,9.892495,0.76322067,6.2196527,1.3327531,-19.181005,-19.659986,0.004289508839626012,0.0654943420428514
67,ZTF18aaixjrc,0.10607894,1.599e-05,z_gal,58900.69856183165,0.000309477,-1.723971371,-0.052587516,0.084956195,9.24108228837856e-06,0.1257767795631964,0.027094469,5.6758322956921074e-08,0.001153763,-0.000175873,-6.62e-08,-2.16e-07,-4.3e-05,0.008037038,3.1,0,1.4156243358196837e-06,213.379287,43.621716,snia,,1.0,1.0,,99.63768116,213.37922727659577,43.621717439442506,0.1118033988749895,9.841,0.83669653,0.035355339059,0.0608421251542221,0.0,39633140565672623,213.37922727659577,43.621717439442506,5764607523034234880,GALAXY,0.1060737573249247,0,5.182675075293686e-06,5.182675075293686e-06,-0.0590562366440181,131.78142,9.898204,0.4205724,7.3740225,1.3876436,-18.783363,-19.46268,0.0037788916967760374,0.061472690658340615
