Name,RA,DEC,redshift,TYPE
ZTF18aabvpeg,122.149918,20.063154,0.03703043,None
2018aab,226.845147,38.416547,0.02905506,None
2018aej,236.095888,39.558108,0.04785957,None
ZTF18aagrcir,215.692206,49.312289,0.07747969,None
2018aqy,128.939288,28.270255,0.0647862,None
ZTF18aahpaoa,144.455528,12.464052,0.10129822,None
ZTF18aahrdpu,127.808004,28.280239,0.10156591,None
ZTF18aahsmrw,181.95224,22.597199,0.07839277,None
ZTF18aaialps,254.749876,34.580543,0.14132799,None
ZTF18aaigbvt,174.115657,17.921411,0.11544146,None
ZTF18aaixjrc,213.379287,43.621716,0.10607894,None
ZTF18aajnrgu,196.869473,21.469738,0.13514228,None
ZTF18aajsbbq,258.763626,34.828045,0.08601782,None
ZTF18aajwdwz,124.917796,27.530461,0.09721546,None
ZTF18aakcsqt,184.510594,19.620818,0.07652539,None
2019haw,273.063952,56.619776,0.06180617,None
ZTF18aaobdza,172.647767,46.497188,0.1154652,None
ZTF18aaobguk,178.049316,51.360012,0.13031168,None
ZTF18aaobjwr,174.146216,34.589456,0.11038691,None
ZTF18aaocqhe,199.858072,66.391857,0.12196838,None
ZTF18aaodnxt,202.017241,34.328767,0.03405243,None
ZTF18aaommeg,254.714877,30.184943,0.11006606,None
ZTF18aaqcqve,198.097981,47.450729,0.11759649,None
2018bff,206.355047,26.424246,0.06232362,None
2018bmv,200.350029,68.826387,0.10278858,None
2018bhr,231.945012,34.948218,0.07289707,None
2018ahq,217.603761,11.932566,0.02556128,None
2018bfk,236.566628,29.094635,0.09368286,None
2018aik,190.458506,68.260587,0.07986115,None
ZTF18aaqjvjr,189.621716,39.003057,0.11653354,None
ZTF18aaqjxid,200.841643,45.644253,0.11099255,None
2018ibj,174.793629,56.136345,0.09659746,None
2018bvx,167.969103,39.605095,0.07610186,None
2018bhw,122.473493,35.077368,0.06233763,None
ZTF18aaqpsvo,199.627167,32.002056,0.13505192,None
2019xax,239.298488,34.525422,0.03113501,None
ZTF18aarbgpc,152.462,22.613167,0.13100161,None
2018bqo,165.61923,34.302406,0.10010473,None
2018lpd,195.655415,55.9257,0.10782074,None
2019ger,172.86865,62.1698,0.06258247,None
2019rmq,234.553786,39.732733,0.02913002,None
2018lpw,208.612637,39.722758,0.08571709,None
